學校名稱,計畫名稱,計畫場域,計畫經費 (TWD),SROI 指標與成效,執行重點與特色,資料來源
南臺科技大學,藏碳蘊漁：古都土城仔綠電創能與智動養殖之跨界整合永續淨零發展計畫,臺南市安南區土城養殖魚塭場域,"2,750,000",本計畫推動社會影響力評估行動的學習循環。量化資料顯示，113年人才培育工作坊滿意度高（合計449參與人次），問卷分析顯示學生在跨域能力與專業信心有統計顯著提升（p < 0.001），由前測2.90升至後測3.37。,以「人才培育」為跨領域教學主軸，結合四大課群（綠電、感測、創意機構、國際行銷）。特色包含建置小型綠電系統、開發AIoT智慧聯網技術於漁業轉型，並推廣食魚教育與綠能工作坊。,11
國立成功大學,台南400年：從倒風內海到東原山林溪北傳統特色產業的升級之路：復振與新生,臺南市後壁區、六甲區、白河區、東山區、學甲區、麻豆區、北門區、七股區；印尼楠榜省及東爪哇省,"7,700,000",採用CIPP模式評估。量化成效包含累計修課學生915位、參與社區實踐活動209位、建構台灣咖啡評鑑系統，並回收學生問卷100份與利害關係人問卷20份以進行滾動式修正。,整合人文歷史（文化底蘊再創）、工程防災（共榮友善環境）及生物科技（知識技術轉譯）。重點在於推動東山咖啡產業升級（六級產業化）、六甲藍染傳統產業復振，以及自然農法與水資源管理推廣。,12
國立清華大學,REAL+：新竹區域產業與文化支持系統,新竹舊城區（東門市場、中正台商圈）、芎林竹北交界（東海璞玉田）、關西馬武督區域,"9,900,000","參考SROI指標研究成果設計評鑑。成效包含活化東門市場130個攤位並創造220個就業機會，獲2024 TSAA台灣永續獎金獎。113年累計3,572位場域參與人次，28門課程共1,338位學生修課人次。",建構「地」結良緣校級品牌。特色包含成立十里方圓合作社、推動玻璃環保回收再利用、開發咖啡電子鼻科技與智慧稻田監測，以及推動大新竹區域「移居」議題與《域報》出版。,13
財團法人明新科技大學,客話茶金三生味—韌性茶鄉創生計畫,新竹縣北埔老街與周邊,"3,025,000",量化指標包含修課學生120人次、地方人士參與13人、合作團體3個。透過前後測評估學生在創意思考與問題解決等六大面向之學習成效，並邀請外部專家進行績效考核。,核心為「兩感三力」（歷史感、價值感、創造力、設計力、數位力）。特色包含北埔文史資源盤點、食茶教育系統開發、AR/VR科技典藏在地古蹟，以及推動北埔「青空間」與青年創業平台。,14
淡江大學,守滬樂齡宜然自得：建置以長者為關懷的「為愛 AI 陪伴」手機 APP,新北市淡水區正德里、鄧公里；宜蘭縣礁溪鄉吳沙社區,"2,750,000",依AA1000標準鑑別利害關係人。APP載具安裝148次。調查顯示64%長者感滿意，41%長者孤獨感降低，69%對淡江大學好感度增加。學生自我成長度與同理心評分均達8分以上（滿分10）。,建置「為愛 AI 陪伴」APP，功能包含AI情緒辨識、活力檢測、心情打字機等。特色為跨領域設計思考（人文x科技），結合長者健康促進活動、鄰里據點服務，並與日本長照機構進行國際交流。,15
修平科技大學,再現田頭水—田中、社頭、二水區域整合計畫,固定實踐場域：社頭國民中學、田中高級中學、文興高級中學、田中鎮農會、社團法人彰化縣新移民協會、彰化縣觀光導覽解說協會、彰化縣馬拉松路跑協會、中華民國舒康樂活運動協會、彰化縣二八水觀光商圈發展協會、彰化縣二水鄉源泉社區發展協會、田中太平社區發展協會、禾果農園、玉米娃娃工作室、呂底亞咖啡店、日日掘力有限公司,"3,052,500",以PDCA模式評估；包含質化與量化成果，如：食農講堂9場次194人次、食農教育286人次、烘焙課程402人次、職能教育、農村旅遊437人次等量化數據，質化成效包含建立地方合作平台、盤點田頭水魅力、研發創新商品等。,地方創生教育（文化、食農、職能）、永續旅遊推廣（農村、食農、產業）、在地品牌行銷（商品研發、農村觀光季、社群網站）。特色包含與在地高中職合作、結合專業課程回饋當地、跨域交流執行經驗。,16
國立成功大學,相伴2026：互為主體、互利共好、底蘊再創,國內固定場域：臺南市六甲區林鳳社區、官田區渡拔里、北區長勝里、中西區溫陵社區、安平區國平社區。國外固定場域：日本千葉縣長柄町、新加坡中區兀蘭關懷樂齡活動中心。,"7,700,000",採用CIPP評鑑。量化：師生參與1045人次、實踐型活動313場、合作微社群15個。SROI案例評估如：千歲咖啡試營運研習日SROI為1.125。,互為主體（實踐課程/研究）、互利共好（子議題運作）、底蘊再創（凝聚集體意識）。核心特色為跨世代扶持網絡、歷史區域再生、國際人才培育基地及跨國密集課程（與日本、新加坡大學合作）。,"17, 18"
實踐大學,漸凍症病友科技生活設計,臺北市中山區：中華民國運動神經元疾病病友協會（漸凍人協會）,"3,300,000",以PDCA與CIPP評鑑。量化：產出162件設計作品、錄製20位病友語音、講座22場。質化：提升學生同理心與議題關懷，評量得分達4分以上，利害關係人滿意度達4.6分。,照護輔具與智慧溝通、美感病理服飾、家庭與情緒輔導、社會資源連結、宣導影音、語音銀行與再現。跨校連結臺北大學通訊工程系，鏈結Dell、仁寶等知名企業。,19
致理科技大學,女王的呼召—萬金國際旅遊實驗共生協作平台,新北市萬里區野柳國際旅遊實驗基地、金山區金山漫遊聯盟基地,"3,025,000","採SROI衡量。量化：修課學生988位、業師授課13場、跨校活動445人次。案例「千歲咖啡試營運」SROI值為1.125。外部資源挹注達2,057,046元。",建立萬金國際旅遊平台、創設國際遊程風土規劃師跨域學程、建立媽祖愛心公益平台（青銀共融）、連結跨國資源。亮點為與日本JTB合作接待高校生修學旅行、榮獲全國社區「金點之星獎」。,18
臺北市立大學,臺北城西文化地景的沉浸式再現：人文藝術結合城市行銷培力的永續實踐,臺北市萬華區：剝皮寮歷史街區（台北市文化基金會城西營運部）,"2,778,000",量化：活動參與學生313位、展演觀眾達340人次（剝皮寮）與300人次（大稻埕）。質化：觀眾滿意度平均達4.6以上，成功活化歷史空間並提升校譽形象。,以沉浸式藝術表演（時光留痕）與音樂劇（三市街）重現台北歷史。特色為跨域協作（音樂、舞蹈、動藝、都經、休管六系聯手）、城市行銷培力、戲劇導覽APP保存文史內容。,20
中國科技大學,共創深坑文化永續韌性社區與多元加值計畫,新北市深坑區渡船頭廣場與深坑老街,"2,750,000",依七面向質化與量化指標評估，包括開設17門課程(達成率106%)、產出29份報告(126%)、辦理55場活動(203%)、完成8份工作手冊(133.3%)；修課學生評量平均4.48分。,援引聯合國5Cs策略，推動文化轉譯、創生與韌性防災；建立GIS空間治理平台，整合歷史與即時資訊；獲選ICOMOS全球21個夥伴之一。,21
南臺科技大學,文化底蕴的在地創生與傳播--府城vs月津,臺南市中西區五條港神農街區、鹽水區鹽水月津港區,"7,480,000",神農街燈展賞燈人次超過十萬；鹽水場域完成8所國小參與課程；神農街元宵燈展獲住民高度肯定為「台南最美夜景」。,貫徹世遺5Cs策略，建置神農街街區博物館及月津文化生活館；開發「尋麵啟事」城市解謎遊戲；將元宵花燈轉化為在地路燈。,22
正修科技大學,齊聚新民·旗育津采,高雄市旗津區,"2,750,000","輔導52名新住民考取國家證照；「168新光幫」課後陪伴新二代達1,000小時；旗津市集活動收入達500萬元；榮獲2023台灣永續行動獎金獎。",以職能訓練、二代教育與族群融合為三大主軸；結合台積電供應商與專業檢測開發「津點魚露」；辦理「想家ATM」舒緩僑生思鄉愁緒。,23
亞東科技大學,新北師生資訊科技增能計畫,新北市立重慶國民中學、新北市立積穗國民中學、新北市立中正國民中學、新北市立育林國民中學、新北市立明志國民中學、新北市石碇國中,"3,250,000",資料未提及 SROI 量化數值。質化成效包括學員在跨域與系統學習構面有顯著成長，對課程滿意度平均介於 5.22 至 5.86 之間 (7分制)。,以 App Inventor 遊戲、mBot 機器人、Webduino 物聯網、針織品視覺藝術設計為四大主題。特色包含大小攜手共學營、種子教師培力及開發低功率智慧誘蟲盒專利。,24
南華大學,推動碳中和農業,嘉義縣民雄鄉菁埔社區、金門縣烈嶼鄉、雲林縣、花蓮縣,"2,750,000",資料未提及 SROI 量化數值。量化成效包括培訓人才達 1252 人次，完成碳足跡查證 15 件，建立 206 部數位影音教學影片。,建立專屬農企業的碳盤查平台。核心特色為培育碳盤查與環境教育人才，推動無抗養殖技術、海藻海底造林固碳及有機農業工法。,25
國立聯合大學,共下生活學習實驗室：打哪叭共創聚落計畫,苗栗縣銅鑼鄉 (打哪叭溪流域)、三義鄉勝興社區,"2,750,000",資料未提及 SROI 量化數值。質化成效透過利害關係人訪談與「學習契約」進行自我評估，建立大學與社區的信任關係與跨社群學習模式。,成立 NUUxUSR 社區學習實驗室。特色包含「學習契約」自主學習工具、MR 參與式規劃工作坊、新生活市集以及將在地文化轉譯為文創商品。,26
國立臺灣海洋大學,三漁興旺-國際藍色經濟示範區,基隆市 (八斗里、正濱漁港等)、新北市貢寮區、連江縣 (馬祖四鄉五島)、日本、越南、菲律賓,"9,720,000",資料未提及 SROI 量化數值。建立社會與藍色影響評估模式 (ASBI)，113 年收集 362 份有效問卷，分析校務治理、人才培育、地方需求與國際連結四面向成效。,藍色經濟五項實踐主軸。亮點包含珊瑚復育近五千株、海藻固碳技術、馬祖智慧醫療義診、台日地方創生雙向交流及淡菜精產品開發。,27
朝陽科技大學,「雜糧紮根，豐味深釀」崙元廊道增韌擴散計畫,雲林縣二崙鄉崙西社區、褒忠鄉有才社區、元長鄉鹿北社區,"7,150,000",資料未提及 SROI 量化數值。依 OKR 進行評估：45.8% 學生提升專業技能，85.2% 社區成員認為提升社區凝聚力，95.9% 成員對活動表示肯定。,打造「崙元廊道」友善耕作。核心特色為開發 AI 智慧誘蟲盒、花生殼回收製成瑜珈墊、開發銀髮友善食譜及建置「USR 實踐基地」。,28
國立臺東大學,都蘭之蘭調創生—友善土地的共作共好,臺東縣東河鄉都蘭部落（固定實踐場域）、都蘭國入境大廳、阿度蘭農場、都蘭鼻、祥銓農創之沉香森林,"3,450,000",資料未明確提及 SROI 具體比率。成效包含產學合作或試製試銷產值目標 120 萬，並透過跨領域統合課程學習反饋與 OKR 關鍵結果（如 113 年度 9 門跨領域課程、195 名學生參與）評估長期社會影響力。,以「都蘭國」地域品牌為核心，新設「在地創生學程」推動跨域人才培育；結合阿美族傳統知識與現代科技經營「阿度蘭農場」實踐友善土地；與東部生物經濟中心合作試製「野菜益生菌發酵粉」提升產業產值。,29
國立陽明交通大學,青銀攜手‧科技協力‧賦能社區‧守護獨老行動計畫,臺北市北投區（健康服務中心、市立北投運動中心、吉慶社區、榮光社區、尊賢里）、新北市三芝區（衛生所、後厝里、福成社區）、新竹市東區（光明里、綠水里）,"7,480,000","資料未明確提供 SROI 數值。量化成效包括提供社區長者服務 1,821 人次、培育志工 41 位、開設 13 門跨領域課程。質化成效包含長者 SPPB 行動能力分數提升（由 9.43 提升至 9.57）及 AI 姿態評估改善率達 75%。",五大策略推動：獨老服務創新、社區健康培力、智慧科技運用（開發天龍八步 APP 與 Rabboni 遊戲）、友善環境改造（居家安全木工體驗）及高齡財務諮詢（防詐騙宣導）。強調青銀共學與科技輔助在地安老。,30
正修科技大學,新埤纖境- 創造新埤鄉的再生力量,屏東縣新埤鄉（含新埤社區發展協會、餉潭國小、新埤國小、林后可可園、南州農會、新埤伯公下公園、張家伙房）,"3,025,000",資料未提供 SROI 數值。主要成效包含農產品推廣收入 60 萬元、媒合漢來大飯店採購新埤農產 100 萬元；協助青年返鄉就業 8 人；社區參與活動滿意度由 85% 提升至 96%。,三大主軸：農產加值品牌行銷、休閒觀光悠遊新埤、青年就業食在新埤。亮點包含輔導「共下咖啡」創業、協助林后可可研發美妝產品出口國際電商、以及運用建築專業進行「伯公下公園」社區營造。,31
淡江大學,農情食課：建構北海岸永續食農教育基地,新北市淡水區、三芝區（錫板里、二號倉庫、中泰國小、三芝國小、興華國小）、石門區（嵩山社區、大傻瓜農場、阿三哥農莊）,"7,150,000","資料未提供 SROI 數值。量化指標顯示參與人次超過 1,000 人、開發食農教案 42 份；單場「梯田排球嘉年華」吸引 500 人次並帶來 10 萬元經濟效益。研究指出課程顯著提升大學生職業適應力。",正式成立「食農教育人才培育學分學程」；推動「大朋友帶小朋友」模式入班中小學教學；舉辦特色活動如水梯田排球、山海探險家夏令營；開發「不時不食」蔬果卡牌獲國科會競賽獎項。,32
黎明技術學院,新北市新泰樹地區新住民及新二代時尚民生職能提升培育計畫,新北市泰山區（泰山區娃娃產業文化館、黎明技術學院校區）、林口區、新莊區（與樹人家商、莊敬高職等校合作場域）,"2,750,000",資料未提及 SROI。執行成效包含完成活動 75 場、社區實踐 718 人次、5 門證照課程；成功輔導新二代學生獲得世界皮革大賽銅牌及全國技能競賽獎項；媒合 42 家廠商提供 349 人次餐飲實習機會。,「新」飲食、「新」休閒、「新」形象三大主軸。特色為針對新住民與新二代推動「親子共學、師生共構、永續共創」；結合時尚民生職能（如泰式娃衣、美甲設計、異國料理）提升弱勢族群就業競爭力。,33
國立臺灣大學,大學 PLUS：臺灣鄉創俱樂部,固定實踐場域：宜蘭縣南澳鄉南澳部落、東岳部落；桃園市大溪區大溪。2. 其他性質場域：無。,"5,500,000",資料來源中未提及 SROI 量化數值，質化成效包括：大溪場域順利建置地方人才庫並開始推動互助交換；南澳場域透過林場學校課程培育場域關係人口，學生自主回訪建立換工模式；與利害關係人進行焦點團體訪談以實現自我檢核評估。,以大溪作為「青創基地」及南澳發展「海山基地」；導入「開源導師支持模式」(Open Source Mentorship)；推動「社區遊戲共創」與「地方策展旅行」商業模式；建置「時間銀行人才庫」能力互助交換網絡。,34
大同大學,同興協力—應用公民設計科學於社區學習教學與場域實踐,固定實踐場域：臺北市大同區貳拾號公民會所；新北市三峽區臺北榮譽國民之家。2. 其他場域：華江濕地、劍潭山親山步道、八德埤塘、龜山苗圃。,"2,937,958",資料來源中未提及 SROI 量化數值，質化成效包括：建立安置性、形成性及總結性評量機制；學生成效滿意度達 4.3 分；成功開發「前進吧！埤塘使者」等環境教育桌遊與教案；協助臺北榮家家史館數位化。,以公民設計科學為核心，推動城市社區公民行動、生態實踐及高齡福祉永續；結合 PDCA 流程進行成效評估；透過跨領域課程模組(如現代公民素養、桌遊設計)培養學生實作與驗證能力。,35
景文科技大學,永續餐飲 SDGs 教育及社會責任計畫,固定實踐場域：臺北市內湖大成集團、新北市中和奧利塔學院、坪林青年茶葉發展協會、山号整合設計、台灣咖啡發展協會、福茶苑、基隆正濱和平島商圈、貢寮養殖漁業養殖協會等。2. 其他：基隆委託行商圈、文山農場。,"3,025,000","資料來源中未提及 SROI 量化數值，量化成效包含：1,521 人次參與研習，1,230 人次修習學程課程；質化成效：帶動福茶苑與奧利塔廠商生意成長；畢業學生成功創業(宜蘭覺品咖啡)；發布吃好魚宣言及永續食力講座。",三大議題主軸：永續飲食文化、食茶教育、食魚教育；設立「永續餐旅微學程」與「微課程」；接軌國際餐飲大師技藝結合在地食材；推動大手牽小手，攜手技高端學校(如淡水商工、智光商職)共同參與。,36
中原大學,團結經濟、文化夥伴－桃園大海社區文化創生計畫III－航空城計畫進行式的人文延續,桃園市大園區（桃園航空城計畫範圍，以大海里、後厝里、竹圍里、圳頭里、沙崙里為核心）,"7,150,000",加權後之 SROI 結果為 2.24,以文化延續為目的，深耕人文教育（校園聯盟、桃園在地學）、推廣場域活動（古蹟日、季刊）、經營歷史現場（駐地工作站、蒐集居民物件）及延續跨界文化網絡（日本地方創生交流）。,37
亞洲大學,學習不孤單：偏鄉AI雙語學伴培育計畫,臺中市后里區、豐原區、梧棲區、霧峰區；南投縣魚池鄉、南投市、竹山鎮、中寮鄉、埔里鎮；彰化縣和美鎮、鹿港鎮,"2,750,000",不在資料中,培育大學生成為線上學伴，運用 AI 語言平台協助偏鄉國高中生學習英語或第二外語。核心包含 AI 科技輔助學習、協助合作學校持續學習及培育具國際觀之全球公民。,38
南臺科技大學,跨樂尬陣：南流西起共融藝起來,臺南市西港區（西港社區、港東里社區、慶安社區發展協會）,"2,750,000",不在資料中,以「在地共融創演學分學程」為核心，將流行音樂與西港傳統文化（陣頭、歌謠）結合，創作出音樂定目劇與新謠，並透過文資保存計畫（電子繪本、紀錄片）推動社區發展。,39
樹德科技大學,橫山 USR 333-1 綠色永續 x 整體實踐,高雄市燕巢區（橫山共創基地、區公所、國中小）、鼓山區（第一市場）、臺南市仁德區（家具博物館）、中西區（原廣陞樓）、屏東縣高樹鄉、南投縣南投市,"8,800,000",透過多元化的創意行動方案，產生顯著的社會投資回報率 (SROI)，具體數值未詳列,推動橫山 3 創服務設計中心、橫山工藝聚落（6+n 主題工坊）及燕巢教育創夢系統。特色在於閒置空間活化、斷鏈產業鏈結及「大學‧造局者」人才培育。,40
馬偕醫學院,脫穎而出成為茭佼者,新北市三芝區（福成社區發展協會、樂天社區發展協會）,"2,262,500",透過意見調查與前後測問卷，在知能增進與選題契合度等指標達成 85-97% 肯定,鏈結生醫研究優勢與三芝特產（茭白筍、地瓜），開發生技加值衍生產品（如植萃皂、教具）。特色包含「三芝四季」微課程、創新創業教育及 CxM 社會責任實驗室。,41
亞東科技大學,翻轉社區高齡復健患者及應用於醫療院所與遠距科技照護大行動,亞東紀念醫院（新北市板橋區）、臺北榮民總醫院（臺北市北投區）、板橋區華興里活動中心、南雅公園市民活動中心、陽明交通大學附設醫院（宜蘭縣宜蘭市）,"3,000,000",2場健檢服務滿意度達4.43 ~~4.81分（5分制）、10場里民講座滿意度達4.14~~ 4.89分。遠距復健改善銀髮族運動排碳路徑，符合減碳效應。,包含醫療院所運動復健、社區健康促進、社區型遠距運動復健三大主軸。亮點包含學生研發硬體獲2024發明展多項金牌、協助教師升等，及赴印尼雅加達進行國際交流。,42
國立中央大學,身生不息─桃園身障包容科技與包容創業教育,桃園市（中壢區、楊梅區、八德區）之身障相關社會企業與非營利組織（如脊髓損傷潛能發展中心、陽光基金會桃竹中心、寶貝潛能發展中心）,"3,025,000",傷友在「包容跨領域知識」、「自我效能」、「團隊夥伴信任」預期成果提升20%~43%。計畫由SROI高、初階執業師帶領評估，產出多份機構社會影響力報告書。,聚焦包容創業教育、包容科技實驗室、課程營隊、倡議共學四大主軸。特色為傷友與學生共組團隊研發產品（如充氣保護手套），並導入Salesforce系統建立NPO數位治理。,43
國立中山大學,產學合創·跨域實踐：共構地方永續協作平台,固定場域：高雄市大寮區（地方創生計畫）。其他場域：高雄市前鎮區（雷科企業廠區）、旗山區（有機農、糖廠社區）、屏東滿洲鄉及枋山鄉。,"7,150,000",113年度亮點專案SROI估值：嬉遊手巾聊(1.06)、可可夢工廠(1.89)、馬雅各服務團(1.33)、微型企業數位轉型(1.90)、高齡築夢(2.19)、大寮小學生體驗營(3.28)。,建立CEES協作平台，連結USR與企業CSR。重點包含偏鄉醫療服務團、薪傳智庫弱勢課輔、企業永續學程，並導入SROI評估工具進行專案管理與貨幣化成效檢視。,44
國立中山大學,作為 NATIVE 博物館的霧台-原民社會自然文化共構之永續學習計畫,屏東縣霧台鄉（谷川、神山、大武部落）、屏東市（屏東縣霧台鄉公所等）,"3,000,000",本計畫建立系統化成效評估機制，學生問卷回收 194 份，質化成效包含提升專業知識、團隊協作、社會責任感與建立永續發展觀念。,以將霧台申請為世界文化遺產潛力點為最終目標。核心特色包含「文化、教育、創生」三大主軸，推動小米復耕、山林倫理教育、部落藝術策展及與日本千葉大學跨國 PBL 合作。,45
國立屏東科技大學,老幼共榮、幸福陪伴-營造屏東老幼永續幸福家園,屏東縣內埔鄉（內埔社會福利綜合館、燈籠花社區營造協會、隘寮社區發展協會、平原鄉土文化協會）,"3,025,000","活動滿意度達 91.56%。19 名學生修畢跨域學程，完成 198 場各類座談與體適能檢測活動，服務人次達 4,007 人。",強調「老幼動動、老幼食代、老幼知能、老幼陪伴」四大模組。特色包括負重水袋特色運動、工作犬動物輔助治療系列課程、以及祖孫父幼日代間學習。,46
東海大學,一所大學守護一條河的四校聯盟行動,臺中市（筏子溪、東大溪、惠來溪、潮洋溪、旱溪排水、綠川、柳川）,"2,870,000","開設 31 門專業課程，擴及學生 1,266 人次。100% 達成河川生態問題盤點與水質分析報告之量化指標。",由東海、逢甲、中興、中教大四校聯盟。結合生態、經濟、社會、文化永續，重點包含商圈油脂截流倡議、微水力發電量評估、以及柳川文史影像記錄。,47
淡江大學,淡水好生活：山海河賦創設計行動,新北市淡水區（淡水百年市街、重建街、公司田溪、正德里社區、大淡水區及周邊地區）,"9,900,000","本年度執行 44 門課程，總計 1,657 位學生修畢。淡水生活節參與者對淡水認同感優勢比達 73%，整體活動價值強度達 79%。",核心為「山海河賦創設計行動」。包含 2024 淡水生活節、重建街 Open Studio 活化、家鄉守護公民科學家（水質監測）以及「滬青學」人才培育系統。,48
台南應用科技大學,消失的針線-刺繡技藝傳承與記憶延伸,臺南市安南區（月光繡莊）、中西區（光彩繡莊、陳德聚堂、天興繡莊、臺灣喜佳）、安定區（神龍興繡莊）、新市區（泰福繡莊、嘉方實業）、永康區（建昇蕾絲）、高雄市楠梓區（台弟工業）、臺北市南港區（慈星實業）,"3,025,000",透過問卷與焦點團體訪談檢核教學品質及文化認同度，建立修復人才庫並落實在地古物修繕，促文資保存與活化。成果顯示課程數量、參與人數及刺繡作品產出均超預期。,以「在地連結」、「人才培育」、「文化永續」為核心，透過藝師傳承專業培訓、跨域創新數位推廣、建置刺繡工藝服務平台及拓展國際能見度（如前往西班牙交流並簽訂 MOU）。,49
