關鍵字,學校數,學校清單（114年）
偏鄉社區,2,國立清華大學、長榮大學
低碳社區,2,中信科技大學、嘉南藥理大學
綠領人才,2,中信科技大學、法鼓文理學院
社區共學,2,中信科技大學、國立屏東大學
機器人教育,2,中國文化大學、國立高雄大學
文史保存,2,中國科技大學、朝陽科技大學
防災教育,2,中原大學、國立中興大學
淨零永續,2,中臺科技大學、南臺科技大學
運動科技,2,亞東科技大學、台北海洋科技大學
新竹香山,2,中華大學、元培醫事科技大學
社會處方箋,2,亞洲大學、臺北市立大學
智慧健康照護,2,亞洲大學、嘉南藥理大學
社區關懷,2,亞洲大學、國立彰化師範大學
智慧科技,2,亞洲大學、弘光科技大學
綠能永續,2,健行科技大學、國立臺灣科技大學
智慧觀光,2,佛光大學、建國科技大學
綠色旅遊,2,佛光大學、樹德科技大學
農村體驗,2,僑光科技大學、實踐大學
跨世代共學,2,僑光科技大學、國立臺灣師範大學
自然農法,2,南華大學、國立雲林科技大學
菁埔社區,2,南華大學、國立成功大學
智慧社區,2,南臺科技大學、明新科技大學
數位科技教育,2,元智大學、國立彰化師範大學
水質監測,2,南臺科技大學、國立清華大學
綠能教育,2,南臺科技大學、國立彰化師範大學
老屋活化,2,南臺科技大學、弘光科技大學
友善耕作,2,南開科技大學、國立臺灣海洋大學
高齡長照,2,南開科技大學、高雄醫學大學
失智照護,2,南開科技大學、國立彰化師範大學
跨國合作,2,南華大學、逢甲大學
淡水社區,2,台北海洋科技大學、淡江大學學校財團法人淡江大學
生態導覽,2,台北海洋科技大學、國立彰化師範大學
漁電共生,2,台南應用科技大學、國立臺灣海洋大學
社區健康照護,2,嘉南藥理大學、高雄醫學大學
農業永續,2,嘉南藥理大學、馬偕醫學大學
鄒族文化,2,國立中正大學、長榮大學
部落產業,2,國立中正大學、國立臺東大學
河川生態保育,2,國立中興大學、輔仁大學
樂齡學習,2,國立中正大學、國立彰化師範大學
原鄉健康促進,2,國立中興大學、長庚大學
生態復育,2,國立中興大學、高雄醫學大學
生命教育,2,國立中興大學、國立成功大學
棲地營造,2,國立嘉義大學、國立虎尾科技大學
糖業文化,2,國立嘉義大學、國立虎尾科技大學
宮廟文化,2,國立勤益科技大學、國立雲林科技大學
偏鄉小校,2,國立屏東大學、國立暨南國際大學
有機農業,2,國立屏東科技大學、國立虎尾科技大學
低碳轉型,2,國立彰化師範大學、萬能科技大學
數位走讀,2,國立彰化師範大學、國立臺北大學
銀髮健康促進,2,國立彰化師範大學、美和科技大學
社區防災,2,國立政治大學、國立臺灣科技大學
戶外教育,2,國立暨南國際大學、國立臺南大學
淨零排放,2,國立暨南國際大學、法鼓文理學院
淨零轉型,2,國立東華大學、樹德科技大學
社區共好,2,國立東華大學、萬能科技大學
科技賦能,2,國立臺北科技大學、龍華科技大學
北投社區,2,國立臺北護理健康大學、東吳大學
特教學校,2,國立臺南大學、大同大學
綠色照顧,2,國立臺東大學、耕莘健康管理專科學校
雲林農村,2,國立臺灣大學、朝陽科技大學
漁村創生,2,國立臺灣海洋大學、國立高雄科技大學
農村再生,2,國立臺灣科技大學、建國科技大學
水圳文化,2,國立臺灣科技大學、輔仁大學
永續漁業,2,國立臺灣海洋大學、國立高雄科技大學
歷史建築活化,2,國立臺灣科技大學、華梵大學
健康識能,2,國立金門大學、馬偕醫學大學
失智友善,2,國立金門大學、高雄醫學大學
數位賦能,2,國立雲林科技大學、朝陽科技大學
文化觀光,2,國立雲林科技大學、實踐大學
科普推廣,2,國立高雄大學、樹德科技大學
流域治理,2,大仁科技大學、東海大學
綠色永續,2,國立高雄餐旅大學、樹德科技大學
產業鏈結,2,國立高雄餐旅大學、淡江大學學校財團法人淡江大學
健康福祉,2,大葉大學、弘光科技大學
智慧科技應用,2,實踐大學、慈濟大學
高雄大社,2,實踐大學、樹德科技大學
眷村文化,2,實踐大學、銘傳大學
農村創生,2,弘光科技大學、耕莘健康管理專科學校
樂齡健康,2,明志科技大學、朝陽科技大學
淡水河流域,2,明志科技大學、淡江大學學校財團法人淡江大學
產業園區,2,明志科技大學、輔英科技大學
高齡福祉,2,朝陽科技大學、長庚科技大學
燕巢社區,2,樹德科技大學、義守大學
樂齡健康促進,2,東南科技大學、馬偕醫護管理專科學校
永續旅遊,2,經國管理學院(112.08.01更名「德育護理健康學院」)、致理科技大學
多元文化,2,輔仁大學、開南大學
多元文化共融,2,長庚科技大學、靜宜大學
區域永續,1,國立清華大學
舊城活化,1,國立清華大學
城鄉交界,1,國立清華大學
宜居城市,1,國立清華大學
節能診斷,1,中信科技大學
新市白蓮霧,1,中信科技大學
口述歷史,1,中信科技大學
農業文化,1,中信科技大學
文化韌性,1,中國科技大學
文化防災,1,中國科技大學
深坑老街,1,中國科技大學
數位導覽,1,中國科技大學
青少年培力,1,中國文化大學
AI科技教育,1,中國文化大學
弱勢關懷,1,中國文化大學
沉浸式體驗,1,中國科技大學
博物館創新,1,中國科技大學
虛實整合,1,中國科技大學
在地走讀,1,中國科技大學
水下考古,1,中國科技大學
韌性防災,1,中原大學
水資源管理,1,中原大學
偏鄉校園,1,中原大學
北海岸社區,1,中國文化大學
社區韌性,1,中國文化大學
永續教育,1,中國文化大學
教育創新,1,中國文化大學
法律扶助,1,中國文化大學
埤塘水文化,1,中原大學
國際共學,1,中原大學
生態城市,1,中原大學
埤塘在地學,1,中原大學
農村永續發展,1,中原大學
咀嚼健康,1,中信科技大學
肌力增進,1,中信科技大學
健康餐飲,1,中信科技大學
口腔照護,1,中信科技大學
質地調整飲食,1,中信科技大學
榮民之家,1,中信科技大學
食品藥物安全,1,中國醫藥大學
中藥養生,1,中國醫藥大學
精準用藥,1,中國醫藥大學
長照據點,1,中國醫藥大學
食藥安教育,1,中國醫藥大學
咖啡產業,1,中臺科技大學
國姓社區,1,中臺科技大學
傳統技藝傳承,1,中華科技大學
織布技藝,1,中華科技大學
部落社區,1,中華科技大學
聽障運動,1,亞東科技大學
STEAM教育,1,亞東科技大學
弱勢培力,1,亞東科技大學
啟聰學校,1,亞東科技大學
茶花產業,1,中華大學
智慧創生,1,中華大學
科技導入,1,中華大學
銀髮健康照護,1,中華醫事科技大學
溪北淺山,1,中華醫事科技大學
園藝治療,1,中華醫事科技大學
綠色觀光,1,中華醫事科技大學
野鳥救傷,1,中國科技大學
都市生態,1,中國科技大學
社區微旅行,1,中國科技大學
六張犁社區,1,中國科技大學
中西醫整合,1,中國醫藥大學
兒少健康照護,1,中國醫藥大學
弱勢族群關懷,1,中國醫藥大學
國小學童,1,中國醫藥大學
社區健康服務,1,中國醫藥大學
空間裝置實作,1,中華科技大學
港灣環境改造,1,中華科技大學
人本空間設計,1,中華科技大學
以樹養老,1,中華大學
霄裡溪流域,1,中華大學
山林守護,1,中華大學
茶園復育,1,中華大學
綠色設計,1,中華大學
科技復健,1,亞東科技大學
智慧高齡,1,亞洲大學
認知促進,1,亞洲大學
高齡心理健康,1,亞洲大學
健康老化,1,亞洲大學
長照社區據點,1,亞洲大學
認知衰弱預防,1,亞洲大學
在地共好,1,亞洲大學
失智友善社區,1,亞洲大學
高齡失智照護,1,亞洲大學
身心靈健康,1,佛光大學
輔助療法,1,佛光大學
健康蔬食,1,佛光大學
身心靈旅療,1,佛光大學
溫泉養生,1,佛光大學
永續餐飲,1,亞洲大學
寵物保健,1,亞洲大學
雙語學伴,1,亞洲大學
語言教學,1,亞洲大學
社區高中,1,亞洲大學
太陽光電,1,健行科技大學
防災型光電,1,健行科技大學
光電科普,1,健行科技大學
淺山產業,1,佛光大學
在地茶產業,1,佛光大學
智慧節能,1,僑光科技大學
商圈綠色轉型,1,僑光科技大學
綠色農遊,1,僑光科技大學
減塑行動,1,僑光科技大學
烏溪流域,1,僑光科技大學
農產行銷,1,僑光科技大學
品牌包裝,1,僑光科技大學
老幼共融,1,元培醫事科技大學
街區博物館,1,南臺科技大學
五條港神農街,1,南臺科技大學
鹽水月津港,1,南臺科技大學
郊商文化,1,南臺科技大學
竹藝文化,1,南臺科技大學
食安教育,1,元培醫事科技大學
高齡飲食安全,1,元培醫事科技大學
社區健康營造,1,元培醫事科技大學
食品添加物,1,元培醫事科技大學
農業碳中和,1,南華大學
農牧共生,1,南華大學
地方碳匯,1,南華大學
第三人生,1,南臺科技大學
高齡陪伴,1,南臺科技大學
惡地文化,1,南臺科技大學
材料再生,1,南臺科技大學
淺山風土,1,南臺科技大學
跨代共創,1,元智大學
設計思考,1,元智大學
跨齡共學,1,元智大學
綠電創能,1,南臺科技大學
養殖魚塭,1,南臺科技大學
漁鄉創生,1,南臺科技大學
農村永續,1,南臺科技大學
陣頭文化,1,南臺科技大學
跨文化交流,1,元智大學
國際教育,1,元智大學
桃園在地學校,1,元智大學
生態農業,1,南開科技大學
行動地方學,1,南開科技大學
百香果產業,1,南開科技大學
埔里大坪頂,1,南開科技大學
幼兒教育,1,南華大學
多元感官學習,1,南華大學
行動閱讀,1,南華大學
沉浸式閱讀,1,南華大學
嘉義偏鄉,1,南華大學
不老城鎮,1,南開科技大學
自立支援,1,南開科技大學
南投社區,1,南開科技大學
國際慢城,1,南華大學
國際慢食,1,南華大學
台灣慢城聯盟,1,南華大學
青銀共創共學,1,台北海洋科技大學
公寓大廈社區,1,台北海洋科技大學
延緩失能,1,台北海洋科技大學
社子島,1,台北海洋科技大學
生態環境教育,1,台北海洋科技大學
河口生態,1,台北海洋科技大學
紅樹林保育,1,台北海洋科技大學
園藝療癒,1,台南應用科技大學
青農培育,1,台南應用科技大學
梓官農業,1,台南應用科技大學
濱海環境永續,1,台南應用科技大學
台南濱海,1,台南應用科技大學
觀光遊憩,1,台南應用科技大學
刺繡技藝傳承,1,台南應用科技大學
傳統工藝,1,台南應用科技大學
府城刺繡,1,台南應用科技大學
吉田社區,1,台南應用科技大學
文化記憶保存,1,台南應用科技大學
產業再生,1,台南應用科技大學
二仁溪流域,1,嘉南藥理大學
河海聚落,1,嘉南藥理大學
商圈振興,1,嘉南藥理大學
綠色產業,1,嘉南藥理大學
銀髮照護,1,嘉南藥理大學
高雄阿蓮,1,嘉南藥理大學
偏鄉關懷,1,嘉南藥理大學
藥事服務,1,嘉南藥理大學
文化科技,1,嘉南藥理大學
西港生活文化,1,嘉南藥理大學
生態社區,1,嘉南藥理大學
低碳樂齡,1,嘉南藥理大學
台南安南,1,嘉南藥理大學
虛擬實境,1,國立中央大學
遊戲化學習,1,國立中央大學
東沙海域,1,國立中山大學
海洋劇場,1,國立中山大學
永續漁獵,1,國立中山大學
永續山林,1,國立中央大學
水資源監測,1,國立中央大學
霧台部落,1,國立中山大學
小米復耕,1,國立中山大學
山田燒墾,1,國立中山大學
產學合創,1,國立中山大學
綠領人才培育,1,國立中山大學
公民參與,1,國立中山大學
特富野部落,1,國立中正大學
人才培育,1,國立中正大學
部落行銷,1,國立中正大學
多元共融,1,國立中央大學
特殊需求社群,1,國立中央大學
社會影響力評估,1,國立中央大學
共融經濟,1,國立中央大學
桃園在地關懷,1,國立中央大學
非營利組織輔導,1,國立中央大學
港市轉型,1,國立中山大學
社區實踐,1,國立中山大學
兩河流域守護,1,國立中興大學
棲地復育,1,國立中興大學
在地文史,1,國立中興大學
長者人權門診,1,國立中正大學
在地社會處方,1,國立中正大學
互助家庭,1,國立中正大學
雲嘉地區,1,國立中正大學
世代共融,1,國立中正大學
社區長照,1,國立中正大學
南投仁愛鄉,1,國立中興大學
種瓜溪流域,1,國立中興大學
棲地保育,1,國立中興大學
動物福祉,1,國立中興大學
偏鄉絕育,1,國立中興大學
流浪動物醫療,1,國立中興大學
動物收容所,1,國立中興大學
菇類產業,1,國立勤益科技大學
新社社區,1,國立勤益科技大學
樹木健檢,1,國立嘉義大學
植物診療,1,國立嘉義大學
友善防治,1,國立嘉義大學
懸絲偶文化,1,國立嘉義大學
藝術介入照護,1,國立嘉義大學
藝文教育,1,國立嘉義大學
青創培力,1,國立宜蘭大學
六級化產業,1,國立宜蘭大學
園藝輔療,1,國立中興大學
失智症照護,1,國立中興大學
後龍水尾社區,1,國立中興大學
鐵工藝術,1,國立勤益科技大學
傳統產業轉型,1,國立勤益科技大學
鐵工藝文創,1,國立勤益科技大學
AI輔助設計,1,國立勤益科技大學
雙語教育,1,國立屏東大學
屏東鄉村,1,國立屏東大學
農業數位轉型,1,國立屏東科技大學
熱帶有機廊道,1,國立屏東科技大學
生物防治,1,國立屏東科技大學
屏東萬巒,1,國立屏東科技大學
自然療癒,1,國立宜蘭大學
宜蘭農村社區,1,國立宜蘭大學
無人機農業應用,1,國立宜蘭大學
身心障礙服務,1,國立屏東大學
自立生活,1,國立屏東大學
跨域人才培育,1,國立屏東大學
航太科普教育,1,國立屏東科技大學
無人機科技,1,國立屏東科技大學
眷村文化保存,1,國立屏東科技大學
科普教育,1,國立屏東科技大學
產業人才培育,1,國立屏東科技大學
生態藝術,1,國立彰化師範大學
園藝療育,1,國立彰化師範大學
藝術療育,1,國立彰化師範大學
視障教育,1,國立彰化師範大學
能源管理,1,國立彰化師範大學
農林地碳匯,1,國立屏東科技大學
混農林業,1,國立屏東科技大學
馬卡道文化,1,國立屏東科技大學
友善畜牧,1,國立屏東科技大學
融合教育,1,國立彰化師範大學
生涯探索,1,國立彰化師範大學
科學探究,1,國立彰化師範大學
偏鄉中學,1,國立彰化師範大學
老幼共榮,1,國立屏東科技大學
科技體適能,1,國立屏東科技大學
綠色餐桌,1,國立屏東科技大學
萬金社區,1,國立屏東科技大學
濱海環境,1,國立彰化師範大學
藍碳生態,1,國立彰化師範大學
文蛤養殖,1,國立彰化師範大學
潮間帶生態,1,國立彰化師範大學
罕見疾病,1,國立成功大學
泡泡龍照護,1,國立成功大學
全人關懷,1,國立成功大學
醫療共照,1,國立成功大學
罕病家庭支持,1,國立成功大學
城鄉共好,1,國立成功大學
惡地地形,1,國立成功大學
淺山生活圈,1,國立成功大學
區域韌性,1,國立成功大學
綠色網絡,1,國立成功大學
竹材推廣,1,國立成功大學
在地轉譯,1,國立成功大學
生態藝術村,1,國立成功大學
樂齡陪伴,1,國立成功大學
療癒文創,1,國立成功大學
農村社區,1,國立成功大學
曾文溪流域,1,國立成功大學
藍染產業復振,1,國立成功大學
中醫藥本土化,1,國立成功大學
數位永續,1,國立成功大學
韌性山村,1,國立政治大學
里山保育,1,國立政治大學
茶鄉產業,1,國立政治大學
銀髮健康,1,國立政治大學
水源保育,1,國立政治大學
共生社區,1,國立政治大學
社會住宅,1,國立政治大學
社區共善,1,國立政治大學
平價住宅,1,國立政治大學
跨國銜轉生,1,國立政治大學
法治教育,1,國立政治大學
探索教育,1,國立暨南國際大學
山林教育,1,國立暨南國際大學
水域運動,1,國立暨南國際大學
水沙連,1,國立暨南國際大學
產業永續,1,國立暨南國際大學
觀光休閒,1,國立暨南國際大學
南投埔里,1,國立暨南國際大學
課後輔導,1,國立暨南國際大學
遠距教學,1,國立暨南國際大學
教師培力,1,國立暨南國際大學
科技農業,1,國立暨南國際大學
循環農牧,1,國立東華大學
海洋復育,1,國立東華大學
合作經濟,1,國立東華大學
原住民教育,1,國立清華大學
泰雅文化,1,國立清華大學
醫療人才培育,1,國立清華大學
文化回應式教學,1,國立清華大學
音樂教育,1,國立清華大學
客家特色農業,1,國立聯合大學
農藥殘留檢測,1,國立聯合大學
休閒農業體驗,1,國立聯合大學
苗栗在地創生,1,國立聯合大學
銀髮樂活,1,國立臺中科技大學
長期照顧,1,國立臺中科技大學
互動式復能,1,國立臺中科技大學
社區照護據點,1,國立臺中科技大學
智慧醫護,1,國立臺中科技大學
高齡友善飲食,1,國立澎湖科技大學
咀嚼吞嚥照護,1,國立澎湖科技大學
在地食材,1,國立澎湖科技大學
頭前溪流域,1,國立清華大學
流域共治,1,國立清華大學
公民科學,1,國立清華大學
河川保育,1,國立清華大學
部落發展,1,國立東華大學
氣候調適,1,國立清華大學
生態觀光,1,國立清華大學
南寮香山,1,國立清華大學
舊城文化,1,國立臺中教育大學
地方學,1,國立臺中教育大學
圖像敘事,1,國立臺中教育大學
漫畫創作,1,國立臺中教育大學
數位敘事,1,國立臺中教育大學
共融社區,1,國立臺中教育大學
三峽老街,1,國立臺北大學
